subject,stimulus,quantity,value,kind
S01,BOR,eye openness,-0.957704261361,within-subject z
S01,BOR,pupil dilation,-0.33438212752,within-subject z
S01,BOR,cognitive load,0.252184674218,within-subject z
S01,BOR,HR,1.11465424613,within-subject z
S01,BOR,gaze deviation variance,1.08346572919,within-subject z
S01,BOR,gaze deviation median,0.939205416577,within-subject z
S01,CLC,eye openness,1.03751294981,within-subject z
S01,CLC,pupil dilation,1.12434384393,within-subject z
S01,CLC,cognitive load,0.849767369799,within-subject z
S01,CLC,HR,-0.296253505701,within-subject z
S01,CLC,gaze deviation variance,-0.887531231066,within-subject z
S01,CLC,gaze deviation median,-1.05134138596,within-subject z
S01,INT,eye openness,-0.0798086884468,within-subject z
S01,INT,pupil dilation,-0.789961716415,within-subject z
S01,INT,cognitive load,-1.10195204402,within-subject z
S01,INT,HR,-0.818400740431,within-subject z
S01,INT,gaze deviation variance,-0.195934498123,within-subject z
S01,INT,gaze deviation median,0.112135969388,within-subject z
S01,BOR,boredom,6,self-report
S01,BOR,engagement,3,self-report
S01,BOR,sleep-fight,2,self-report
S01,BOR,fatigue before,5,self-report
S01,BOR,fatigue after,5,self-report
S01,CLC,boredom,3,self-report
S01,CLC,engagement,5,self-report
S01,CLC,sleep-fight,2,self-report
S01,CLC,fatigue before,4,self-report
S01,CLC,fatigue after,5,self-report
S01,INT,boredom,2,self-report
S01,INT,engagement,7,self-report
S01,INT,sleep-fight,1,self-report
S01,INT,fatigue before,5,self-report
S01,INT,fatigue after,4,self-report
